Competizione,Turno,Data,Casa,Ospite,Lato,Squadra,Modulo,Gruppo,Ordine,Numero,Giocatore,Ruolo,Rating,Entrato al,Uscito al,ID partita
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,Ospite,Oxford Utd,4-2-3-1,Titolare,2,2,Long S.,,6.7,,,femlyACb
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,Ospite,Oxford Utd,4-2-3-1,Titolare,3,6,Helik M.,,6.6,,,femlyACb
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,Ospite,Oxford Utd,4-2-3-1,Titolare,4,29,Davies B.,,6.5,,,femlyACb
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,Ospite,Oxford Utd,4-2-3-1,Titolare,5,26,Currie J.,,6.8,,,femlyACb
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,Ospite,Oxford Utd,4-2-3-1,Titolare,6,4,Vaulks W.,,6.2,,66',femlyACb
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,Ospite,Oxford Utd,4-2-3-1,Titolare,7,8,Brannagan C.,Capitano,6.1,,65',femlyACb
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,Ospite,Oxford Utd,4-2-3-1,Titolare,8,17,Mills S.,,7.4,,98',femlyACb
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,Ospite,Oxford Utd,4-2-3-1,Titolare,9,33,Donley J.,,6.4,,17',femlyACb
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,Ospite,Oxford Utd,4-2-3-1,Titolare,10,23,Dembele S.,,5.7,,66',femlyACb
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,Ospite,Oxford Utd,4-2-3-1,Titolare,11,27,Lankshear W.,,6.7,,90+2',femlyACb
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,Ospite,Oxford Utd,4-2-3-1,Panchina,1,1,Cumming J.,Portiere,,,,femlyACb
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,Ospite,Oxford Utd,4-2-3-1,Panchina,2,14,De Keersmaecker B.,,7.1,66',,femlyACb
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,Ospite,Oxford Utd,4-2-3-1,Panchina,3,9,Harris M.,,6.3,90+2',,femlyACb
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,Ospite,Oxford Utd,4-2-3-1,Panchina,4,50,Krastev F.,,7.2,65',,femlyACb
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,Ospite,Oxford Utd,4-2-3-1,Panchina,5,22,Leigh G.,,,,,femlyACb
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,Ospite,Oxford Utd,4-2-3-1,Panchina,6,44,Peart-Harris M.,,6.3,17',,femlyACb
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,Ospite,Oxford Utd,4-2-3-1,Panchina,7,10,Phillips M.,,6.3,98',,femlyACb
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,Ospite,Oxford Utd,4-2-3-1,Panchina,8,15,Spencer B.,,,,,femlyACb
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,Ospite,Oxford Utd,4-2-3-1,Panchina,9,11,ter Haar Romeny O.,,7.1,66',,femlyACb
FA Cup,3° turno,09.01.2026,Port Vale,Fleetwood,Casa,Port Vale,4-4-2,Titolare,1,46,Gauci J.,Portiere,7.0,,,2PUtsuqK
FA Cup,3° turno,09.01.2026,Port Vale,Fleetwood,Casa,Port Vale,4-4-2,Titolare,2,2,Clark M.,,7.7,,,2PUtsuqK
FA Cup,3° turno,09.01.2026,Port Vale,Fleetwood,Casa,Port Vale,4-4-2,Titolare,3,4,Heneghan B.,,8.7,,,2PUtsuqK
FA Cup,3° turno,09.01.2026,Port Vale,Fleetwood,Casa,Port Vale,4-4-2,Titolare,4,25,Humphreys C.,,6.7,,,2PUtsuqK
FA Cup,3° turno,09.01.2026,Port Vale,Fleetwood,Casa,Port Vale,4-4-2,Titolare,5,28,Johnson M.,,7.4,,75',2PUtsuqK
FA Cup,3° turno,09.01.2026,Port Vale,Fleetwood,Casa,Port Vale,4-4-2,Titolare,6,33,Hall G.,,6.9,,62',2PUtsuqK
FA Cup,3° turno,09.01.2026,Port Vale,Fleetwood,Casa,Port Vale,4-4-2,Titolare,7,7,Byers G.,Capitano,6.7,,,2PUtsuqK
FA Cup,3° turno,09.01.2026,Port Vale,Fleetwood,Casa,Port Vale,4-4-2,Titolare,8,26,Shipley J.,,7.9,,,2PUtsuqK
FA Cup,3° turno,09.01.2026,Port Vale,Fleetwood,Casa,Port Vale,4-4-2,Titolare,9,19,Waine B.,,6.3,,78',2PUtsuqK
FA Cup,3° turno,09.01.2026,Port Vale,Fleetwood,Casa,Port Vale,4-4-2,Titolare,10,44,Cole D.,,7.3,,,2PUtsuqK
FA Cup,3° turno,09.01.2026,Port Vale,Fleetwood,Casa,Port Vale,4-4-2,Titolare,11,9,Stockley J.,,6.8,,62',2PUtsuqK
FA Cup,3° turno,09.01.2026,Port Vale,Fleetwood,Casa,Port Vale,4-4-2,Panchina,1,13,Amos B.,Portiere,,,,2PUtsuqK
FA Cup,3° turno,09.01.2026,Port Vale,Fleetwood,Casa,Port Vale,4-4-2,Panchina,2,10,Brown D.,,6.4,78',,2PUtsuqK
FA Cup,3° turno,09.01.2026,Port Vale,Fleetwood,Casa,Port Vale,4-4-2,Panchina,3,18,Croasdale R.,,6.5,62',,2PUtsuqK
FA Cup,3° turno,09.01.2026,Port Vale,Fleetwood,Casa,Port Vale,4-4-2,Panchina,4,36,Faal M.,,6.7,62',,2PUtsuqK
FA Cup,3° turno,09.01.2026,Port Vale,Fleetwood,Casa,Port Vale,4-4-2,Panchina,5,3,Headley J.,,6.7,75',,2PUtsuqK
FA Cup,3° turno,09.01.2026,Port Vale,Fleetwood,Casa,Port Vale,4-4-2,Panchina,6,24,Kyle John,,,,,2PUtsuqK
FA Cup,3° turno,09.01.2026,Port Vale,Fleetwood,Casa,Port Vale,4-4-2,Panchina,7,30,Lomax B.,,,,,2PUtsuqK
FA Cup,3° turno,09.01.2026,Port Vale,Fleetwood,Casa,Port Vale,4-4-2,Panchina,8,17,Paton R.,,,,,2PUtsuqK
FA Cup,3° turno,09.01.2026,Port Vale,Fleetwood,Casa,Port Vale,4-4-2,Panchina,9,12,Walters R.,,,,,2PUtsuqK
FA Cup,3° turno,09.01.2026,Port Vale,Fleetwood,Ospite,Fleetwood,3-1-4-2,Titolare,1,1,Harrington D.,Portiere,7.6,,,2PUtsuqK
FA Cup,3° turno,09.01.2026,Port Vale,Fleetwood,Ospite,Fleetwood,3-1-4-2,Titolare,2,44,Mullarkey T.,,6.4,,59',2PUtsuqK
FA Cup,3° turno,09.01.2026,Port Vale,Fleetwood,Ospite,Fleetwood,3-1-4-2,Titolare,3,35,Haughey C.,,6.0,,,2PUtsuqK
FA Cup,3° turno,09.01.2026,Port Vale,Fleetwood,Ospite,Fleetwood,3-1-4-2,Titolare,4,3,Medley Z.,,7.9,,,2PUtsuqK
FA Cup,3° turno,09.01.2026,Port Vale,Fleetwood,Ospite,Fleetwood,3-1-4-2,Titolare,5,20,Neal H.,,5.9,,59',2PUtsuqK
FA Cup,3° turno,09.01.2026,Port Vale,Fleetwood,Ospite,Fleetwood,3-1-4-2,Titolare,6,10,Helm M.,,6.7,,,2PUtsuqK
FA Cup,3° turno,09.01.2026,Port Vale,Fleetwood,Ospite,Fleetwood,3-1-4-2,Titolare,7,15,Davies J.,,6.5,,71',2PUtsuqK
FA Cup,3° turno,09.01.2026,Port Vale,Fleetwood,Ospite,Fleetwood,3-1-4-2,Titolare,8,6,Bonds E.,Capitano,6.6,,,2PUtsuqK
FA Cup,3° turno,09.01.2026,Port Vale,Fleetwood,Ospite,Fleetwood,3-1-4-2,Titolare,9,16,Ennis E.,,7.4,,,2PUtsuqK
