manager_key,grafia,qid,qid_candidato,nome_wd,nascita,titolo,club_confermati,stato
roberto d aversa,Roberto D'Aversa,,Q573195,,,,0,club_diversi
julian nagelsmann,Julian Nagelsmann,Q21226404,,Julian Nagelsmann,1987-07-23,Julian Nagelsmann,3,risolto
davide nicola,Davide Nicola,,Q3019103,,,,0,club_diversi
sergio,Sergio,,,,,,0,disambigua
marco rose,Marco Rose,,Q542990,,,,0,club_diversi
andoni iraola,Andoni Iraola,Q317216,,Andoni Iraola,1982-06-22,Andoni Iraola,2,risolto
thomas tuchel,Thomas Tuchel,Q702233,,Thomas Tuchel,1973-08-29,Thomas Tuchel,3,risolto
olivier dall oglio,Olivier Dall'Oglio,Q2399059,,Olivier Dall'Oglio,1964-05-16,Olivier Dall'Oglio,3,risolto
mauricio pochettino,Mauricio Pochettino,Q313000,,Mauricio Pochettino,1972-03-02,Mauricio Pochettino,3,risolto
jose luis mendilibar,José Luis Mendilibar,Q460576,,José Luis Mendilibar,1961-03-14,José Luis Mendilibar,1,risolto
luciano spalletti,Luciano Spalletti,Q310813,,Luciano Spalletti,1959-03-07,Luciano Spalletti,3,risolto
thomas frank,Thomas Frank,Q13469562,,Thomas Frank,1973-10-09,Thomas Frank (football manager),2,risolto
sebastian hoeneß,Sebastian Hoeneß,,Q64626953,,,,0,senza_p6087
julen lopetegui,Julen Lopetegui,Q115119,,Julen Lopetegui,1966-08-28,Julen Lopetegui,4,risolto
marco baroni,Marco Baroni,Q1317738,,Marco Baroni,1963-09-11,Marco Baroni,2,risolto
urs fischer,Urs Fischer,Q347771,,Urs Fischer,1966-02-20,Urs Fischer (footballer),1,risolto
steffen baumgart,Steffen Baumgart,Q2338559,,Steffen Baumgart,1972-01-05,Steffen Baumgart,3,risolto
julien stephan,Julien Stéphan,Q59390957,,Julien Stéphan,1980-09-18,Julien Stéphan,2,risolto
graham potter,Graham Potter,Q5593150,,Graham Potter,1975-05-20,Graham Potter,3,risolto
marco giampaolo,Marco Giampaolo,Q2704759,,Marco Giampaolo,1967-08-02,Marco Giampaolo,5,risolto
pellegrino matarazzo,Pellegrino Matarazzo,Q80310717,,Pellegrino Matarazzo,1977-11-28,Pellegrino Matarazzo,1,risolto
gennaro gattuso,Gennaro Gattuso,Q116980,,Gennaro Gattuso,1978-01-09,Gennaro Gattuso,4,risolto
brendan rodgers,Brendan Rodgers,Q310623,,Brendan Rodgers,1973-01-26,Brendan Rodgers,1,risolto
florian kohfeldt,Florian Kohfeldt,,Q23061384,,,,0,club_diversi
