Competizione,Turno,Data,Casa,Ospite,Lato,Squadra,Modulo,Gruppo,Ordine,Numero,Giocatore,Ruolo,Rating,Entrato al,Uscito al,ID partita
DFB-Pokal,SEMI FINALI,22.04.2026,Leverkusen,Bayern,Ospite,Bayern,4-2-3-1,Panchina,1,19,Davies A.,,6.4,74',,l4zH1xXP
DFB-Pokal,SEMI FINALI,22.04.2026,Leverkusen,Bayern,Ospite,Bayern,4-2-3-1,Panchina,2,8,Goretzka L.,,7.1,73',,l4zH1xXP
DFB-Pokal,SEMI FINALI,22.04.2026,Leverkusen,Bayern,Ospite,Bayern,4-2-3-1,Panchina,3,22,Guerreiro R.,,,,,l4zH1xXP
DFB-Pokal,SEMI FINALI,22.04.2026,Leverkusen,Bayern,Ospite,Bayern,4-2-3-1,Panchina,4,21,Ito H.,,,,,l4zH1xXP
DFB-Pokal,SEMI FINALI,22.04.2026,Leverkusen,Bayern,Ospite,Bayern,4-2-3-1,Panchina,5,11,Jackson N.,,,,,l4zH1xXP
DFB-Pokal,SEMI FINALI,22.04.2026,Leverkusen,Bayern,Ospite,Bayern,4-2-3-1,Panchina,6,3,Kim Min-Jae,,,84',,l4zH1xXP
DFB-Pokal,SEMI FINALI,22.04.2026,Leverkusen,Bayern,Ospite,Bayern,4-2-3-1,Panchina,7,34,Ofli D.,,,,,l4zH1xXP
DFB-Pokal,SEMI FINALI,22.04.2026,Leverkusen,Bayern,Ospite,Bayern,4-2-3-1,Panchina,8,39,Sapoko Ndiaye B.,,,,,l4zH1xXP
DFB-Pokal,SEMI FINALI,22.04.2026,Leverkusen,Bayern,Ospite,Bayern,4-2-3-1,Panchina,9,40,Urbig J.,Portiere,,,,l4zH1xXP
DFB-Pokal,QUARTI DI FINALE,11.02.2026,Bayern,RB Lipsia,Casa,Bayern,4-2-3-1,Titolare,1,1,Neuer M.,Portiere,7.2,,,f3czdX2n
DFB-Pokal,QUARTI DI FINALE,11.02.2026,Bayern,RB Lipsia,Casa,Bayern,4-2-3-1,Titolare,2,44,Stanisic J.,,7.6,,69',f3czdX2n
DFB-Pokal,QUARTI DI FINALE,11.02.2026,Bayern,RB Lipsia,Casa,Bayern,4-2-3-1,Titolare,3,2,Upamecano D.,,7.9,,,f3czdX2n
DFB-Pokal,QUARTI DI FINALE,11.02.2026,Bayern,RB Lipsia,Casa,Bayern,4-2-3-1,Titolare,4,4,Tah J.,,7.8,,,f3czdX2n
DFB-Pokal,QUARTI DI FINALE,11.02.2026,Bayern,RB Lipsia,Casa,Bayern,4-2-3-1,Titolare,5,19,Davies A.,,7.3,,90+4',f3czdX2n
DFB-Pokal,QUARTI DI FINALE,11.02.2026,Bayern,RB Lipsia,Casa,Bayern,4-2-3-1,Titolare,6,6,Kimmich J.,,7.7,,,f3czdX2n
DFB-Pokal,QUARTI DI FINALE,11.02.2026,Bayern,RB Lipsia,Casa,Bayern,4-2-3-1,Titolare,7,45,Pavlovic A.,,7.0,,80',f3czdX2n
DFB-Pokal,QUARTI DI FINALE,11.02.2026,Bayern,RB Lipsia,Casa,Bayern,4-2-3-1,Titolare,8,17,Olise M.,,8.2,,,f3czdX2n
DFB-Pokal,QUARTI DI FINALE,11.02.2026,Bayern,RB Lipsia,Casa,Bayern,4-2-3-1,Titolare,9,7,Gnabry S.,,6.7,,69',f3czdX2n
DFB-Pokal,QUARTI DI FINALE,11.02.2026,Bayern,RB Lipsia,Casa,Bayern,4-2-3-1,Titolare,10,14,Diaz L.,,7.2,,,f3czdX2n
DFB-Pokal,QUARTI DI FINALE,11.02.2026,Bayern,RB Lipsia,Casa,Bayern,4-2-3-1,Titolare,11,9,Kane H.,,8.0,,,f3czdX2n
DFB-Pokal,QUARTI DI FINALE,11.02.2026,Bayern,RB Lipsia,Casa,Bayern,4-2-3-1,Panchina,1,20,Bischof T.,,,,,f3czdX2n
DFB-Pokal,QUARTI DI FINALE,11.02.2026,Bayern,RB Lipsia,Casa,Bayern,4-2-3-1,Panchina,2,8,Goretzka L.,,,80',,f3czdX2n
DFB-Pokal,QUARTI DI FINALE,11.02.2026,Bayern,RB Lipsia,Casa,Bayern,4-2-3-1,Panchina,3,22,Guerreiro R.,,,,,f3czdX2n
