league,season,date,home_team,away_team,result,m_home_c,k_home_c,c_model,c_market,deficit,home_won,imbalance_model,imbalance_market,disagreement,abs_disagreement,favourite_agree,matchday,month,m_home,m_draw,m_away,k_home,k_draw,k_away
la_liga,2122,2022-03-02,Mallorca,Sociedad,A,0.3603256849157654,0.4353982300884957,0.44679611483403825,0.5716346283615967,-0.12483851352755848,0.0,0.2793486301684692,0.12920353982300858,-0.07507254517273032,0.07507254517273032,True,85,3,0.2539738211204321,0.29515482311563646,0.4508713557639312,0.30098076628020887,0.3087230367954554,0.3902961969243358
la_liga,2122,2022-03-05,Valencia,Granada,H,0.6897840310550793,0.6974110032362459,0.37137672885597656,0.360380367353943,0.010996361502033536,1.0,0.3795680621101587,0.3948220064724919,-0.007626972181166591,0.007626972181166591,True,86,3,0.5180605626016506,0.24895251371761123,0.23298692368073834,0.5127023820868645,0.26484902058078363,0.22244859733235192
la_liga,2122,2022-03-05,Espanol,Getafe,H,0.5326100459846025,0.6310517529215358,0.6299657436235985,0.4603674024958618,0.1695983411277367,1.0,0.06522009196920497,0.2621035058430716,-0.09844170693693333,0.09844170693693333,True,86,3,0.3569867698091419,0.32974082539280114,0.313272404798057,0.4339287517153957,0.3123721632869787,0.25369908499762556
la_liga,2122,2022-03-05,Osasuna,Villarreal,H,0.39004691406044056,0.39506172839506165,0.9414882546303349,0.9287132518727124,0.012775002757622556,1.0,0.21990617187911887,0.2098765432098767,-0.005014814334621087,0.005014814334621087,True,86,3,0.27837527508048227,0.2863030957415907,0.43532162917792705,0.2800615286691773,0.29109425555614493,0.42884421577467774
la_liga,2122,2022-03-05,Real Madrid,Sociedad,H,0.803727278299326,0.8110137672090113,0.218495273441937,0.20947024941399991,0.00902502402793709,1.0,0.607454556598652,0.6220275344180226,-0.007286488909685307,0.007286488909685307,True,86,3,0.6067863869647697,0.2450344745686374,0.1481791384665928,0.6366051942742983,0.215050076813018,0.1483447289126837
la_liga,2122,2022-03-06,Celta,Mallorca,H,0.7603700855596085,0.7010785824345147,0.27395000954202126,0.35513529775313946,-0.0811852882111182,1.0,0.520740171119217,0.4021571648690294,0.05929150312509379,0.05929150312509379,True,87,3,0.5660152460671253,0.2556055836276675,0.17837917030520722,0.49469057243099746,0.29438641426875306,0.21092301330024946
la_liga,2122,2022-03-06,Elche,Barcelona,A,0.2111605590122307,0.1490486257928118,0.23719247569148935,0.16140029163331493,0.07579218405817442,0.0,0.5776788819755386,0.7019027484143764,0.06211193321941888,0.06211193321941888,True,87,3,0.16277677011254976,0.22913269943028744,0.6080905304571627,0.11939034716342081,0.1989839119390347,0.6816257408975445
la_liga,2122,2022-03-06,Betis,Ath Madrid,A,0.4316915871319262,0.38994800693240905,0.5650910272199654,0.49421109091000254,0.07087993630996287,0.0,0.13661682573614764,0.2201039861351819,0.04174358019951713,0.04174358019951713,True,87,3,0.3115287128291486,0.2783535234057167,0.41011776376513465,0.27365563258036457,0.29822533333835394,0.42811903408128144
la_liga,2122,2022-03-06,Cadiz,Vallecano,H,0.48171391451321816,0.563922942206655,0.7304048794994747,0.572837664111602,0.15756721538787277,1.0,0.03657217097356369,0.1278458844133099,-0.0822090276934368,0.0822090276934368,False,87,3,0.3325785431506843,0.3095932396165849,0.35782821723273084,0.3849418098329506,0.3173857968490223,0.2976723933180271
la_liga,2122,2022-03-07,Ath Bilbao,Levante,H,0.7550033076387633,0.8141809290953547,0.2810331487642143,0.20557266606235775,0.07546048270185657,1.0,0.5100066152775267,0.6283618581907093,-0.059177621456591334,0.059177621456591334,True,88,3,0.5596549413122377,0.2587384245209048,0.18160663416685754,0.6322245083581326,0.22348401225682824,0.14429147938503925
la_liga,2122,2022-03-11,Ath Madrid,Cadiz,H,0.903245762792399,0.8838983050847457,0.10176060003386661,0.12341326245893812,-0.02165266242507151,1.0,0.806491525584798,0.7677966101694913,0.019347457707653337,0.019347457707653337,True,89,3,0.7346754664838465,0.18662727604435664,0.07869725747179687,0.702204332708511,0.20555981534415815,0.09223585194733079
la_liga,2122,2022-03-12,Granada,Elche,A,0.645315466586558,0.5824561403508772,1.0365265228517737,0.8733656871571213,0.16316083569465245,0.0,0.29063093317311606,0.16491228070175445,0.0628593262356808,0.0628593262356808,True,90,3,0.4631666814382702,0.2822631636458006,0.25457015491592905,0.40247774875252235,0.30899904581645266,0.28852320543102505
la_liga,2122,2022-03-12,Villarreal,Celta,H,0.7638882403730889,0.7647907647907648,0.26933378275008296,0.2681529926437357,0.0011807901063472515,1.0,0.5277764807461778,0.5295815295815296,-0.0009025244176759095,0.0009025244176759095,True,90,3,0.585953787185882,0.23293257283330124,0.1811136399808166,0.5900677785916968,0.2284585461055738,0.1814736753027294
la_liga,2122,2022-03-13,Barcelona,Osasuna,H,0.870628638226242,0.8824577025823687,0.1385397555896144,0.12504442040845518,0.013495335181159224,1.0,0.7412572764524841,0.7649154051647373,-0.011829064356126628,0.011829064356126628,True,91,3,0.7004528694370654,0.1954630956499212,0.10408403491301352,0.7265896211320266,0.1766295211591667,0.09678085770880678
la_liga,2122,2022-03-13,Betis,Ath Bilbao,H,0.6116503421268404,0.5487364620938628,0.491594496138693,0.6001369853410621,-0.10854248920236909,1.0,0.22330068425368088,0.09747292418772568,0.0629138800329776,0.0629138800329776,True,91,3,0.4341826625792407,0.2901456393051401,0.2756716981156191,0.38515427038306754,0.29810702042033094,0.31673870919660163
