Competizione,Turno,Data,Casa,Ospite,Periodo,Minuto,Lato,Tipo evento,Giocatore,Punteggio dopo,ID partita
Carabao Cup,QUARTI DI FINALE,23.12.2025,Arsenal,Crystal Palace,2 Tempo,67',Casa,Sostituzione - Entra,Saka B.,,lAjU9kWj
Carabao Cup,QUARTI DI FINALE,23.12.2025,Arsenal,Crystal Palace,2 Tempo,75',Ospite,Sostituzione - Esce,Richards C.,,lAjU9kWj
Carabao Cup,QUARTI DI FINALE,23.12.2025,Arsenal,Crystal Palace,2 Tempo,75',Ospite,Sostituzione - Entra,Hughes W.,,lAjU9kWj
Carabao Cup,QUARTI DI FINALE,23.12.2025,Arsenal,Crystal Palace,2 Tempo,80',Casa,Autogol,Lacroix M.,1-0,lAjU9kWj
Carabao Cup,QUARTI DI FINALE,23.12.2025,Arsenal,Crystal Palace,2 Tempo,86',Casa,Sostituzione - Esce,Gabriel Jesus,,lAjU9kWj
Carabao Cup,QUARTI DI FINALE,23.12.2025,Arsenal,Crystal Palace,2 Tempo,86',Casa,Sostituzione - Entra,Rice D.,,lAjU9kWj
Carabao Cup,QUARTI DI FINALE,23.12.2025,Arsenal,Crystal Palace,2 Tempo,86',Ospite,Sostituzione - Esce,Pino Y.,,lAjU9kWj
Carabao Cup,QUARTI DI FINALE,23.12.2025,Arsenal,Crystal Palace,2 Tempo,86',Ospite,Sostituzione - Entra,Uche C.,,lAjU9kWj
Carabao Cup,QUARTI DI FINALE,23.12.2025,Arsenal,Crystal Palace,2 Tempo,89',Casa,Cartellino Giallo,Arrizabalaga K.,,lAjU9kWj
Carabao Cup,QUARTI DI FINALE,23.12.2025,Arsenal,Crystal Palace,2 Tempo,90+5',Ospite,Gol,Guehi M.,1-1,lAjU9kWj
Carabao Cup,QUARTI DI FINALE,23.12.2025,Arsenal,Crystal Palace,2 Tempo,90+5',Ospite,Assist,Lerma J.,1-1,lAjU9kWj
Carabao Cup,QUARTI DI FINALE,23.12.2025,Arsenal,Crystal Palace,2 Tempo,90+11',Ospite,Sostituzione - Esce,Mitchell T.,,lAjU9kWj
Carabao Cup,QUARTI DI FINALE,23.12.2025,Arsenal,Crystal Palace,2 Tempo,90+11',Ospite,Sostituzione - Entra,Sosa B.,,lAjU9kWj
Carabao Cup,QUARTI DI FINALE,23.12.2025,Arsenal,Crystal Palace,Rigori,1,Casa,Rigore Assegnato,Odegaard M.,,lAjU9kWj
Carabao Cup,QUARTI DI FINALE,23.12.2025,Arsenal,Crystal Palace,Rigori,1,Casa,Rigore,Odegaard M.,,lAjU9kWj
Carabao Cup,QUARTI DI FINALE,23.12.2025,Arsenal,Crystal Palace,Rigori,1,Ospite,Rigore Assegnato,Mateta J.,,lAjU9kWj
Carabao Cup,QUARTI DI FINALE,23.12.2025,Arsenal,Crystal Palace,Rigori,1,Ospite,Rigore,Mateta J.,,lAjU9kWj
Carabao Cup,QUARTI DI FINALE,23.12.2025,Arsenal,Crystal Palace,Rigori,2,Casa,Rigore Assegnato,Rice D.,,lAjU9kWj
Carabao Cup,QUARTI DI FINALE,23.12.2025,Arsenal,Crystal Palace,Rigori,2,Casa,Rigore,Rice D.,,lAjU9kWj
Carabao Cup,QUARTI DI FINALE,23.12.2025,Arsenal,Crystal Palace,Rigori,2,Ospite,Rigore Assegnato,Devenny J.,,lAjU9kWj
Carabao Cup,QUARTI DI FINALE,23.12.2025,Arsenal,Crystal Palace,Rigori,2,Ospite,Rigore,Devenny J.,,lAjU9kWj
Carabao Cup,QUARTI DI FINALE,23.12.2025,Arsenal,Crystal Palace,Rigori,3,Casa,Rigore Assegnato,Saka B.,,lAjU9kWj
Carabao Cup,QUARTI DI FINALE,23.12.2025,Arsenal,Crystal Palace,Rigori,3,Casa,Rigore,Saka B.,,lAjU9kWj
Carabao Cup,QUARTI DI FINALE,23.12.2025,Arsenal,Crystal Palace,Rigori,3,Ospite,Rigore Assegnato,Hughes W.,,lAjU9kWj
Carabao Cup,QUARTI DI FINALE,23.12.2025,Arsenal,Crystal Palace,Rigori,3,Ospite,Rigore,Hughes W.,,lAjU9kWj
Carabao Cup,QUARTI DI FINALE,23.12.2025,Arsenal,Crystal Palace,Rigori,4,Casa,Rigore Assegnato,Trossard L.,,lAjU9kWj
Carabao Cup,QUARTI DI FINALE,23.12.2025,Arsenal,Crystal Palace,Rigori,4,Casa,Rigore,Trossard L.,,lAjU9kWj
Carabao Cup,QUARTI DI FINALE,23.12.2025,Arsenal,Crystal Palace,Rigori,4,Ospite,Rigore Assegnato,Sosa B.,,lAjU9kWj
