competizione,turno,data,casa,ospite,game_id,b_arbitro,b_allenatori,b_undici_titolari,b_minuti_giocati,b_sostituzioni,b_statistiche_individuali,b_statistiche_squadra,incrociabile
Coupe de France,7° turno,2025-11-15,AS Steenvoorde,FC Chambly,,False,False,False,False,False,False,False,False
Coupe de France,7° turno,2025-11-15,ASPTT Dijon,Le Puy Foot 43,,False,False,False,False,False,False,False,False
Coupe de France,7° turno,2025-11-15,Andrézieux-Bouthéon FC,Hauts Lyonnais,,False,False,False,False,False,False,False,False
Coupe de France,7° turno,2025-11-15,Auch Football,Canet Roussillon FC,,False,False,False,False,False,False,False,False
Coupe de France,7° turno,2025-11-15,Bayeux FC,SM Caen,,False,False,False,False,False,False,False,False
Coupe de France,7° turno,2025-11-15,CA Pontarlier,FC Sochaux-Montbéliard,,False,False,False,False,False,False,False,False
Coupe de France,7° turno,2025-11-15,CMS Oissel,Quevilly Rouen Métropole,,False,False,False,False,False,False,False,False
Coupe de France,7° turno,2025-11-15,CS moulien,AS Le Gosier,,False,False,False,False,False,False,False,False
Coupe de France,7° turno,2025-11-15,Carnoux FC,AS Pirae,,False,False,False,False,False,False,False,False
Coupe de France,7° turno,2025-11-15,Espoir de Sainte-Luce,Eveil des Trois-Ilets,,False,False,False,False,False,False,False,False
Coupe de France,7° turno,2025-11-15,FC 2 Rives 82,AS Mazères-Uzos-Rontignon,,False,False,False,False,False,False,False,False
Coupe de France,7° turno,2025-11-15,FC Challans,GSI Pontivy,,False,False,False,False,False,False,False,False
Coupe de France,7° turno,2025-11-15,FC Loon-Plage,Stade béthunois FC,,False,False,False,False,False,False,False,False
Coupe de France,7° turno,2025-11-15,FC Montceau Bourgogne,L'Etrat La Tour Sportif,,False,False,False,False,False,False,False,False
Coupe de France,7° turno,2025-11-15,FC Rhone Vallées,RC Pays de Grasse,,False,False,False,False,False,False,False,False
Coupe de France,7° turno,2025-11-15,FC Villars l'Isle SMB,US Sarre-Union,,False,False,False,False,False,False,False,False
Coupe de France,7° turno,2025-11-15,France d’Aizenay,ESTAC Troyes,,False,False,False,False,False,False,False,False
Coupe de France,7° turno,2025-11-15,IC Croix,Racing CFF,,False,False,False,False,False,False,False,False
Coupe de France,7° turno,2025-11-15,Lavaur FC,Rodez AF,,False,False,False,False,False,False,False,False
Coupe de France,7° turno,2025-11-15,Le Cellier Mauves FC,Stade lavallois,,False,False,False,False,False,False,False,False
Coupe de France,7° turno,2025-11-15,Les Bleuets Football,US Concarneau,,False,False,False,False,False,False,False,False
Coupe de France,7° turno,2025-11-15,L’Union Saint-Jean FC,Angoulême Charente FC,,False,False,False,False,False,False,False,False
Coupe de France,7° turno,2025-11-15,Montpellier Atlas Paillade,Bourg-Péronnas 01,,False,False,False,False,False,False,False,False
Coupe de France,7° turno,2025-11-15,Montreuil FC,Bandrélé FC,,False,False,False,False,False,False,False,False
Coupe de France,7° turno,2025-11-15,Olympique CPAM,Stade de Reims,,False,False,False,False,False,False,False,False
Coupe de France,7° turno,2025-11-15,Orvault SF,VHF Les Herbiers,,False,False,False,False,False,False,False,False
Coupe de France,7° turno,2025-11-15,Racing Besançon,US Thionville Lusitanos,,False,False,False,False,False,False,False,False
Coupe de France,7° turno,2025-11-15,SC Locminé,EA Guingamp,,False,False,False,False,False,False,False,False
Coupe de France,7° turno,2025-11-15,SS Allinges,Istres FC,,False,False,False,False,False,False,False,False
Coupe de France,7° turno,2025-11-15,Sablé FC,US Saint-Malo,,False,False,False,False,False,False,False,False
Coupe de France,7° turno,2025-11-15,Sarreguemines FC,AS Furiani-Agliani,,False,False,False,False,False,False,False,False
Coupe de France,7° turno,2025-11-15,Seignosse CS FC,FC Marmande 47,,False,False,False,False,False,False,False,False
Coupe de France,7° turno,2025-11-15,Stade Quimperlois,Ancienne Château-Gontier,,False,False,False,False,False,False,False,False
Coupe de France,7° turno,2025-11-15,Strasbourg FCOSK,ASC Biesheim,,False,False,False,False,False,False,False,False
Coupe de France,7° turno,2025-11-15,Trélissac APFC,Pau FC,,False,False,False,False,False,False,False,False
Coupe de France,7° turno,2025-11-15,UES Montmorillon,SC Beaucouzé,,False,False,False,False,False,False,False,False
Coupe de France,7° turno,2025-11-15,US Auby,Amiens SC,,False,False,False,False,False,False,False,False
Coupe de France,7° turno,2025-11-15,US Avranches,Paris 13 Atletico,,False,False,False,False,False,False,False,False
Coupe de France,7° turno,2025-11-15,US Château-Malo,SC Bastia,,False,False,False,False,False,False,False,False
Coupe de France,7° turno,2025-11-15,US Granville,Dinan Léhon FC,,False,False,False,False,False,False,False,False
Coupe de France,7° turno,2025-11-15,US Ivry Football,Le Mans FC,,False,False,False,False,False,False,False,False
Coupe de France,7° turno,2025-11-15,US Orléans,Aviron bayonnais FC,,False,False,False,False,False,False,False,False
Coupe de France,7° turno,2025-11-15,US Prémontré Saint-Gobain,US Chantilly,,False,False,False,False,False,False,False,False
Coupe de France,7° turno,2025-11-15,Vendée Fontenay Foot,FC Chamalières,,False,False,False,False,False,False,False,False
Coupe de France,7° turno,2025-11-15,Yvetot AC,ASPTT Caen,,False,False,False,False,False,False,False,False
Coupe de France,7° turno,2025-11-15,Étoile de Matoury,Le Geldar de Kourou,,False,False,False,False,False,False,False,False
Coupe de France,7° turno,2025-11-16,AS Nancy-Lorraine,GSA Tomblaine,,False,False,False,False,False,False,False,False
Coupe de France,7° turno,2025-11-16,AS Saint-Brice Courcelles,FC Bogny-sur-Meuse,,False,False,False,False,False,False,False,False
Coupe de France,7° turno,2025-11-16,AS Savigneux Montbrison,US Feurs,,False,False,False,False,False,False,False,False
Coupe de France,7° turno,2025-11-16,AS Vitré,AG Plouvorn,,False,False,False,False,False,False,False,False
Coupe de France,7° turno,2025-11-16,Association Still Mutzig,US Raon-l'Étape,,False,False,False,False,False,False,False,False
Coupe de France,7° turno,2025-11-16,Atom Sports Pierrelatte,Lyon-La Duchère,,False,False,False,False,False,False,False,False
Coupe de France,7° turno,2025-11-16,Beaumont SA,FCM Aubervilliers,,False,False,False,False,False,False,False,False
Coupe de France,7° turno,2025-11-16,Blois Football 41,Clermont Foot 63,,False,False,False,False,False,False,False,False
Coupe de France,7° turno,2025-11-16,CS Avion,US Torcy,,False,False,False,False,False,False,False,False
Coupe de France,7° turno,2025-11-16,CS Plédran,Stade plabennécois,,False,False,False,False,False,False,False,False
Coupe de France,7° turno,2025-11-16,Cormontreuil FC,FCP Portugais Amiens,,False,False,False,False,False,False,False,False
Coupe de France,7° turno,2025-11-16,EA Saint-Renan,Stade briochin,,False,False,False,False,False,False,False,False
