competizione,turno,data,game_id,minuto,tipo,club,club_id,giocatore_id,entrato_id,assist_id,descrizione
EFL Cup,First Round,2025-08-12,4634039,67,Substitutions,Cambridge United,986,244338,167254.0,,", Tactical"
EFL Cup,First Round,2025-08-12,4634039,67,Cards,Cambridge United,986,386505,,,"1. Yellow card  , Time wasting"
EFL Cup,First Round,2025-08-12,4634039,67,Substitutions,Cambridge United,986,449019,364711.0,,", Tactical"
EFL Cup,First Round,2025-08-12,4634039,75,Goals,Cambridge United,986,364711,,453678.0,", Header, 1. Tournament Goal Assist: , Cross, 1. Tournament Assist"
EFL Cup,First Round,2025-08-12,4634039,76,Substitutions,Cambridge United,986,49501,568007.0,,", Tactical"
EFL Cup,First Round,2025-08-12,4634039,83,Substitutions,Cambridge United,986,376252,976043.0,,", Tactical"
EFL Cup,First Round,2025-08-12,4634040,4,Cards,Leyton Orient,1150,425716,,,"1. Yellow card  , Foul"
EFL Cup,First Round,2025-08-12,4634040,59,Substitutions,Leyton Orient,1150,614811,917154.0,,", Tactical"
EFL Cup,First Round,2025-08-12,4634040,61,Substitutions,Wycombe Wanderers,2805,907215,696229.0,,", Tactical"
EFL Cup,First Round,2025-08-12,4634040,68,Substitutions,Leyton Orient,1150,258886,610786.0,,", Tactical"
EFL Cup,First Round,2025-08-12,4634040,69,Substitutions,Leyton Orient,1150,917154,724529.0,,", Injury"
EFL Cup,First Round,2025-08-12,4634040,69,Substitutions,Leyton Orient,1150,940849,415816.0,,", Tactical"
EFL Cup,First Round,2025-08-12,4634040,70,Substitutions,Wycombe Wanderers,2805,305274,1324449.0,,", Tactical"
EFL Cup,First Round,2025-08-12,4634040,70,Substitutions,Wycombe Wanderers,2805,1441277,633753.0,,", Tactical"
EFL Cup,First Round,2025-08-12,4634040,74,Substitutions,Leyton Orient,1150,686838,670877.0,,", Tactical"
EFL Cup,First Round,2025-08-12,4634040,90,Goals,Wycombe Wanderers,2805,419930,,359693.0,", Own-goal Assist: , Cross, 1. Tournament Assist"
EFL Cup,First Round,2025-08-12,4634040,90,Cards,Wycombe Wanderers,2805,646210,,,"1. Yellow card  , Foul"
EFL Cup,First Round,2025-08-12,4634040,90,Cards,Wycombe Wanderers,2805,1324449,,,"1. Yellow card  , Time wasting"
EFL Cup,First Round,2025-08-12,4634041,10,Goals,Norwich City,1123,393325,,1099726.0,", Left-footed shot, 1. Tournament Goal Assist: , Pass, 1. Tournament Assist"
EFL Cup,First Round,2025-08-12,4634041,24,Goals,Norwich City,1123,715558,,1099726.0,", Right-footed shot, 1. Tournament Goal Assist: , Pass, 2. Tournament Assist"
EFL Cup,First Round,2025-08-12,4634041,46,Substitutions,Watford FC,1010,346472,855014.0,,", Tactical"
EFL Cup,First Round,2025-08-12,4634041,46,Substitutions,Norwich City,1123,615302,983702.0,,", Tactical"
EFL Cup,First Round,2025-08-12,4634041,46,Substitutions,Watford FC,1010,803401,635336.0,,", Tactical"
EFL Cup,First Round,2025-08-12,4634041,46,Substitutions,Watford FC,1010,974327,503795.0,,", Tactical"
EFL Cup,First Round,2025-08-12,4634041,49,Cards,Watford FC,1010,486477,,,"1. Yellow card  , Foul"
EFL Cup,First Round,2025-08-12,4634041,62,Substitutions,Watford FC,1010,157368,711247.0,,", Tactical"
EFL Cup,First Round,2025-08-12,4634041,62,Substitutions,Norwich City,1123,393325,854885.0,,", Tactical"
EFL Cup,First Round,2025-08-12,4634041,62,Substitutions,Norwich City,1123,1099726,157506.0,,", Tactical"
EFL Cup,First Round,2025-08-12,4634041,66,Cards,Norwich City,1123,488755,,,"1. Yellow card  , Dissent"
EFL Cup,First Round,2025-08-12,4634041,68,Goals,Watford FC,1010,711247,,635336.0,", Left-footed shot, 1. Tournament Goal Assist: , Pass, 1. Tournament Assist"
EFL Cup,First Round,2025-08-12,4634041,73,Substitutions,Norwich City,1123,800925,724785.0,,", Tactical"
EFL Cup,First Round,2025-08-12,4634041,80,Substitutions,Watford FC,1010,1014243,668950.0,,", Tactical"
EFL Cup,First Round,2025-08-12,4634041,82,Substitutions,Norwich City,1123,855298,726714.0,,", Tactical"
EFL Cup,First Round,2025-08-12,4634042,27,Goals,Charlton Athletic,358,874064,,747681.0,", Right-footed shot, 1. Tournament Goal Assist: , Pass, 1. Tournament Assist"
EFL Cup,First Round,2025-08-12,4634042,36,Goals,Charlton Athletic,358,1215441,,874064.0,", Left-footed shot, 1. Tournament Goal Assist: , 1. Tournament Assist"
EFL Cup,First Round,2025-08-12,4634042,46,Substitutions,Charlton Athletic,358,484735,125685.0,,", Tactical"
EFL Cup,First Round,2025-08-12,4634042,60,Substitutions,Stevenage FC,3684,227944,376856.0,,", Tactical"
EFL Cup,First Round,2025-08-12,4634042,60,Substitutions,Stevenage FC,3684,396857,186927.0,,", Tactical"
EFL Cup,First Round,2025-08-12,4634042,60,Substitutions,Stevenage FC,3684,614603,751658.0,,", Tactical"
EFL Cup,First Round,2025-08-12,4634042,60,Substitutions,Stevenage FC,3684,671073,250840.0,,", Tactical"
EFL Cup,First Round,2025-08-12,4634042,65,Substitutions,Charlton Athletic,358,747681,965605.0,,", Tactical"
EFL Cup,First Round,2025-08-12,4634042,65,Substitutions,Charlton Athletic,358,874064,633492.0,,", Tactical"
EFL Cup,First Round,2025-08-12,4634042,73,Substitutions,Stevenage FC,3684,581598,1336995.0,,", Tactical"
EFL Cup,First Round,2025-08-12,4634042,76,Substitutions,Charlton Athletic,358,1075754,1215440.0,,", Tactical"
EFL Cup,First Round,2025-08-12,4634042,77,Goals,Charlton Athletic,358,125685,,965605.0,", Header, 1. Tournament Goal Assist: , Cross, 1. Tournament Assist"
EFL Cup,First Round,2025-08-12,4634042,82,Substitutions,Charlton Athletic,358,1215441,1085239.0,,", Tactical"
EFL Cup,First Round,2025-08-12,4634042,86,Goals,Stevenage FC,3684,457897,,1001380.0,", Header, 1. Tournament Goal Assist: , Cross, 1. Tournament Assist"
