competizione,paese,turno,data,casa,ospite,gol_casa_90,gol_ospite_90,gol_casa_finale,gol_ospite_finale,rigori_casa,rigori_ospite,supplementari,gol_casa_dichiarato,gol_ospite_dichiarato,eventi_incompleti,divisione_casa,divisione_ospite,dentro_perimetro,arbitro,stadio,spettatori,allenatore_casa,allenatore_ospite,modulo_casa,modulo_ospite,game_id,competition_id,home_club_id,away_club_id,fonte,url,sigla_divisione_casa,sigla_divisione_ospite
Copa del Rey,ES,First Round,2025-10-29,UD Los Garres,Elche CF,0,4,0,4,,,False,0,4,False,3.0,1.0,True,Mateo Busquets Ferrer,Enrique Roca de Murcia,8000.0,Mario Martínez,Eder Sarabia,5-4-1,4-3-3 Attacking,4743288,CDR,70288,1531,player-scores,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4743288,,
Copa del Rey,ES,First Round,2025-10-29,UD Mutilvera,Real Zaragoza,1,3,1,3,,,False,1,3,False,3.0,2.0,True,Daniel Palencia Caballero,Mutilnova,1900.0,Álvaro Garrido,Rubén Sellés,4-2-3-1,4-4-2,4743281,CDR,40175,142,player-scores,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4743281,,
Copa del Rey,ES,First Round,2025-10-29,UD Ourense,Pontevedra CF,1,1,1,1,0.0,3.0,False,1,4,False,3.0,3.0,True,Manuel Pozueta Rodríguez,O Couto,1800.0,Borja Fernández,Rubén Domínguez,4-4-2,4-4-2,4743276,CDR,60225,5650,player-scores,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4743276,,
Copa del Rey,ES,First Round,2025-10-29,UD Poblense,CE Sabadell FC,1,1,1,2,,,True,1,2,False,3.0,3.0,True,Álvaro Cánovas García Villarrubia,Municipal de Sa Pobla,1000.0,Óscar Troya,Ferran Costa,4-4-2,4-4-2,4743283,CDR,28014,11422,player-scores,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4743283,,
Copa del Rey,ES,First Round,2025-10-29,UE Sant Andreu,CD Teruel,1,1,2,1,,,True,2,1,False,3.0,3.0,True,Francisco José Ortega Herrera,Narcís Sala,3241.0,Natxo González,Vicente Parras,4-2-3-1,5-3-2,4743287,CDR,12697,19301,player-scores,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4743287,,
Copa del Rey,ES,First Round,2025-10-30,Atlético Palma del Río CF,Real Betis Balompié,1,7,1,7,,,False,1,7,False,3.0,1.0,True,José Luis Guzmán Mansilla,Sergio León,8800.0,Fran Sedano,Manuel Pellegrini,4-4-2,4-4-2,4743289,CDR,107473,150,player-scores,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4743289,,
Copa del Rey,ES,First Round,2025-10-30,CD Atlético Baleares,Gimnàstic de Tarragona,2,0,2,0,,,False,2,0,False,3.0,3.0,True,Alejandro Clemente Ortuño,Balear,2000.0,Luis Blanco,Luis César Sampedro,3-5-2 flat,4-5-1 flat,4743286,CDR,18687,5648,player-scores,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4743286,,
Copa del Rey,ES,First Round,2025-10-30,CD Estepona FS,Málaga CF,1,3,1,3,,,False,1,3,False,3.0,2.0,True,José Antonio Sánchez Villalobos,Francisco Muñoz Pérez,3500.0,Xavi Molist,Sergio Pellicer,5-4-1,4-2-3-1,4743296,CDR,24445,1084,player-scores,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4743296,,
Copa del Rey,ES,First Round,2025-10-30,CD Getxo,Deportivo Alavés,0,7,0,7,,,False,0,7,False,3.0,1.0,True,Miguel Sesma Espinosa,Fadura,1089.0,Egoitz Garay,Eduardo Coudet,4-2-3-1,4-2-3-1,4743261,CDR,29739,1108,player-scores,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4743261,,
Copa del Rey,ES,First Round,2025-10-30,CD Valle de Egüés,FC Andorra,1,5,1,5,,,False,1,5,False,3.0,2.0,True,Jon Ander González Esteban,Municipal de Sarriguren,1800.0,Txiki Acaz,Ibai Gómez,5-3-2,4-4-2,4743280,CDR,13223,10718,player-scores,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4743280,,
Copa del Rey,ES,First Round,2025-10-30,CE Atlètic Lleida,RCD Espanyol Barcelona,1,2,1,2,,,False,1,2,False,3.0,3.0,True,Víctor García Verdura,Camp d´Esports de Lleida,7000.0,Gabri,Manolo González,4-2-3-1,4-2-3-1,4743279,CDR,92869,714,player-scores,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4743279,,
Copa del Rey,ES,First Round,2025-10-30,Club Atlético Antoniano,CD Castellón,1,0,1,0,,,False,1,0,False,3.0,2.0,True,Alejandro Ojaos Valera,Municipal de Lebrija,3500.0,Lolo Rosano,Pablo Hernández,4-2-3-1,4-4-2,4743299,CDR,42457,2502,player-scores,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4743299,,
Copa del Rey,ES,First Round,2025-10-30,Orihuela CF,Levante UD,3,4,3,4,,,False,3,4,False,3.0,1.0,True,Juan Martínez Munuera,Los Arcos,4500.0,Pato,Julián Calero,5-4-1,4-4-2,4743292,CDR,4054,3368,player-scores,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4743292,,
Copa del Rey,ES,First Round,2025-10-30,Puerto de Vega CF,Celta de Vigo,0,2,0,2,,,False,0,2,False,3.0,1.0,True,De Burgos Bengoetxea,El Pardo,4000.0,Javi Prendes,Claudio Giráldez,4-5-1 flat,5-4-1,4743263,CDR,134732,940,player-scores,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4743263,,
Copa del Rey,ES,First Round,2025-10-30,Real Murcia CF,Antequera CF,1,1,1,1,2.0,1.0,False,3,2,False,3.0,3.0,True,Jorge Tárraga Lájara,Enrique Roca de Murcia,10120.0,Adrián Colunga,Abel Gómez,4-2-3-1,4-2-3-1,4743303,CDR,171,16022,player-scores,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4743303,,
Copa del Rey,ES,First Round,2025-10-30,Real Ávila CF,Real Avilés CF,0,0,1,0,,,True,1,0,False,3.0,3.0,True,Daniel Miranda Bolaños,Adolfo Suárez,1751.0,Marc García,Dani Vidal,4-3-3 Attacking,4-4-2,4743275,CDR,6212,20844,player-scores,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4743275,,
