competizione,turno_diretta,data,casa,ospite,club_casa,club_ospite,id_diretta,game_id,turno_nostro
EFL Cup,1/32 FINALE,2025-08-26,Sunderland,Huddersfield,289,1110,lnWSq0N7,4709790.0,Second Round
EFL Cup,1/32 FINALE,2025-08-26,Swansea,Plymouth,2288,2262,tMUmOVw8,4709796.0,Second Round
EFL Cup,1/32 FINALE,2025-08-26,Wigan,Stockport,1071,1098,W8IM9itC,4709784.0,Second Round
EFL Cup,1/32 FINALE,2025-08-26,Cambridge Utd,Charlton,986,358,nuTXRDvq,4709789.0,Second Round
EFL Cup,1/32 FINALE,2025-08-26,Wolves,West Ham,543,379,8fHtQi9e,4709788.0,Second Round
EFL Cup,1/32 FINALE,2025-08-26,Reading,Wimbledon,1032,3884,QBFEBDBa,4709787.0,Second Round
EFL Cup,1/64 FINALE,2025-08-19,Tranmere,Burton,1074,2963,dGXpxhKh,4634022.0,First Round
EFL Cup,1/64 FINALE,2025-08-13,Birmingham,Sheffield Utd,337,350,tQ0TDxwR,4634026.0,First Round
EFL Cup,1/64 FINALE,2025-08-13,Barnsley,Fleetwood,349,11177,z7hKjiZo,4634034.0,First Round
EFL Cup,1/64 FINALE,2025-08-13,Bolton,Sheffield Wed,355,1035,bm29U0Iq,4634032.0,First Round
EFL Cup,1/64 FINALE,2025-08-13,Cheltenham,Exeter,3371,6699,WEFGSvmd,4634048.0,First Round
EFL Cup,1/64 FINALE,2025-08-13,Huddersfield,Leicester,1110,1003,KfIAWmlU,4634024.0,First Round
EFL Cup,1/64 FINALE,2025-08-12,Bromley,Ipswich,8981,677,pvHQgHoe,4634038.0,First Round
EFL Cup,1/64 FINALE,2025-08-12,Accrington,Peterborough,3688,1072,MwuD3JGa,4699497.0,First Round
EFL Cup,1/64 FINALE,2025-08-12,Blackburn,Bradford City,164,1027,fkE9OSjn,4634029.0,First Round
EFL Cup,1/64 FINALE,2025-08-12,Blackpool,Port Vale,1181,1211,Qy1PewHr,4634019.0,First Round
EFL Cup,1/64 FINALE,2025-08-12,Bristol City,Milton Keynes,698,991,6XTbuIW1,4634037.0,First Round
