Competizione,Turno,Data,Casa,Ospite,Lato,Squadra,Modulo,Gruppo,Ordine,Numero,Giocatore,Ruolo,Rating,Entrato al,Uscito al,ID partita
Coppa di Francia,32esimi di finale,19.12.2025,IC Croix,Reims,Ospite,Reims,4-2-3-1,Panchina,2,20,Demoncy Y.,,6.4,77',,ryzrBvZ9
Coppa di Francia,32esimi di finale,19.12.2025,IC Croix,Reims,Ospite,Reims,4-2-3-1,Panchina,3,15,Gbane M.,,,,,ryzrBvZ9
Coppa di Francia,32esimi di finale,19.12.2025,IC Croix,Reims,Ospite,Reims,4-2-3-1,Panchina,4,16,Jaouen E.,Portiere,,,,ryzrBvZ9
Coppa di Francia,32esimi di finale,19.12.2025,IC Croix,Reims,Ospite,Reims,4-2-3-1,Panchina,5,14,Mambuku J.,,,,,ryzrBvZ9
Coppa di Francia,32esimi di finale,19.12.2025,IC Croix,Reims,Ospite,Reims,4-2-3-1,Panchina,6,17,Nakamura K.,,,,,ryzrBvZ9
Coppa di Francia,32esimi di finale,19.12.2025,IC Croix,Reims,Ospite,Reims,4-2-3-1,Panchina,7,13,Patrick J.,,7.0,62',,ryzrBvZ9
Coppa di Francia,32esimi di finale,19.12.2025,IC Croix,Reims,Ospite,Reims,4-2-3-1,Panchina,8,19,Salama A.,,6.9,62',,ryzrBvZ9
Coppa di Francia,32esimi di finale,19.12.2025,IC Croix,Reims,Ospite,Reims,4-2-3-1,Panchina,9,18,Tia A.,,6.8,61',,ryzrBvZ9
Coppa di Francia,32esimi di finale,19.12.2025,Guingamp,Laval,Casa,Guingamp,4-4-2,Titolare,1,1,Ortola A.,Portiere,6.2,,,pQTMS30C
Coppa di Francia,32esimi di finale,19.12.2025,Guingamp,Laval,Casa,Guingamp,4-4-2,Titolare,2,2,Koffi E.,,6.8,,,pQTMS30C
Coppa di Francia,32esimi di finale,19.12.2025,Guingamp,Laval,Casa,Guingamp,4-4-2,Titolare,3,7,Gomis D.,,8.1,,,pQTMS30C
Coppa di Francia,32esimi di finale,19.12.2025,Guingamp,Laval,Casa,Guingamp,4-4-2,Titolare,4,5,Nair S.,,7.4,,,pQTMS30C
Coppa di Francia,32esimi di finale,19.12.2025,Guingamp,Laval,Casa,Guingamp,4-4-2,Titolare,5,3,Matumona J.,,6.0,,62',pQTMS30C
Coppa di Francia,32esimi di finale,19.12.2025,Guingamp,Laval,Casa,Guingamp,4-4-2,Titolare,6,11,Sagna A.,,7.3,,,pQTMS30C
Coppa di Francia,32esimi di finale,19.12.2025,Guingamp,Laval,Casa,Guingamp,4-4-2,Titolare,7,8,Sidibe K.,,6.9,,,pQTMS30C
Coppa di Francia,32esimi di finale,19.12.2025,Guingamp,Laval,Casa,Guingamp,4-4-2,Titolare,8,4,Louiserre D.,Capitano,7.0,,,pQTMS30C
Coppa di Francia,32esimi di finale,19.12.2025,Guingamp,Laval,Casa,Guingamp,4-4-2,Titolare,9,10,Ott G.,,6.8,,72',pQTMS30C
Coppa di Francia,32esimi di finale,19.12.2025,Guingamp,Laval,Casa,Guingamp,4-4-2,Titolare,10,6,Ahile T.,,6.4,,62',pQTMS30C
Coppa di Francia,32esimi di finale,19.12.2025,Guingamp,Laval,Casa,Guingamp,4-4-2,Titolare,11,9,Kielt S.,,6.1,,,pQTMS30C
Coppa di Francia,32esimi di finale,19.12.2025,Guingamp,Laval,Casa,Guingamp,4-4-2,Panchina,1,16,Bartouche-Selbonne T.,Portiere,,,,pQTMS30C
Coppa di Francia,32esimi di finale,19.12.2025,Guingamp,Laval,Casa,Guingamp,4-4-2,Panchina,2,14,Demouchy A.,,,,,pQTMS30C
Coppa di Francia,32esimi di finale,19.12.2025,Guingamp,Laval,Casa,Guingamp,4-4-2,Panchina,3,18,Diakite I.,,,,,pQTMS30C
Coppa di Francia,32esimi di finale,19.12.2025,Guingamp,Laval,Casa,Guingamp,4-4-2,Panchina,4,15,Gassama E.,,,,,pQTMS30C
Coppa di Francia,32esimi di finale,19.12.2025,Guingamp,Laval,Casa,Guingamp,4-4-2,Panchina,5,12,Mafouta L.,,6.3,62',,pQTMS30C
Coppa di Francia,32esimi di finale,19.12.2025,Guingamp,Laval,Casa,Guingamp,4-4-2,Panchina,6,19,Matondo J.,,,,,pQTMS30C
Coppa di Francia,32esimi di finale,19.12.2025,Guingamp,Laval,Casa,Guingamp,4-4-2,Panchina,7,20,Miraoui I.,,,,,pQTMS30C
Coppa di Francia,32esimi di finale,19.12.2025,Guingamp,Laval,Casa,Guingamp,4-4-2,Panchina,8,13,Njoya Y.,,6.4,72',,pQTMS30C
Coppa di Francia,32esimi di finale,19.12.2025,Guingamp,Laval,Casa,Guingamp,4-4-2,Panchina,9,17,Ourega D.,,6.0,62',,pQTMS30C
Coppa di Francia,32esimi di finale,19.12.2025,Guingamp,Laval,Ospite,Laval,4-5-1,Titolare,1,1,Hautbois M.,Portiere,7.3,,,pQTMS30C
Coppa di Francia,32esimi di finale,19.12.2025,Guingamp,Laval,Ospite,Laval,4-5-1,Titolare,2,7,Vargas T.,,6.5,,,pQTMS30C
Coppa di Francia,32esimi di finale,19.12.2025,Guingamp,Laval,Ospite,Laval,4-5-1,Titolare,3,4,Ouaneh P.,,7.3,,,pQTMS30C
Coppa di Francia,32esimi di finale,19.12.2025,Guingamp,Laval,Ospite,Laval,4-5-1,Titolare,4,3,Bianda W.,,6.4,,,pQTMS30C
Coppa di Francia,32esimi di finale,19.12.2025,Guingamp,Laval,Ospite,Laval,4-5-1,Titolare,5,5,Samb L.,,7.6,,,pQTMS30C
Coppa di Francia,32esimi di finale,19.12.2025,Guingamp,Laval,Ospite,Laval,4-5-1,Titolare,6,11,Faurand-Tournaire A.,,6.5,,70',pQTMS30C
