Competizione,Turno,Data,Casa,Ospite,Periodo,Minuto,Lato,Tipo evento,Giocatore,Punteggio dopo,ID partita
Coppa di Francia,7° turno,15.11.2025,Lapalisse,Stade Poitevin,2 Tempo,78',Ospite,Gol,Panelle A.,1-2,b5RusjrC
Coppa di Francia,7° turno,15.11.2025,Loon Plage,Bethune,1 Tempo,41',Ospite,Gol,Alexandrenne J.,0-1,rZIz26xS
Coppa di Francia,7° turno,15.11.2025,Loon Plage,Bethune,2 Tempo,55',Casa,Gol,Milliot A.,1-1,rZIz26xS
Coppa di Francia,7° turno,15.11.2025,Le Cellier Mauves,Laval,1 Tempo,37',Ospite,Gol,Sellouki M.,0-1,fRZuW33L
Coppa di Francia,7° turno,15.11.2025,Le Cellier Mauves,Laval,2 Tempo,52',Ospite,Gol,Faurand-Tournaire A.,0-2,fRZuW33L
Coppa di Francia,7° turno,15.11.2025,Le Cellier Mauves,Laval,2 Tempo,57',Ospite,Cartellino Giallo,Maddy E.,,fRZuW33L
Coppa di Francia,7° turno,15.11.2025,Le Cellier Mauves,Laval,2 Tempo,57',Ospite,Cartellino Rosso,Maddy E.,,fRZuW33L
Coppa di Francia,7° turno,15.11.2025,Le Cellier Mauves,Laval,2 Tempo,67',Ospite,Gol,Faurand-Tournaire A.,0-3,fRZuW33L
Coppa di Francia,7° turno,15.11.2025,Le Cellier Mauves,Laval,2 Tempo,71',Ospite,Gol,Benard W.,0-4,fRZuW33L
Coppa di Francia,7° turno,15.11.2025,Le Cellier Mauves,Laval,2 Tempo,76',Ospite,Gol,Vargas T.,0-5,fRZuW33L
Coppa di Francia,7° turno,15.11.2025,Le Cellier Mauves,Laval,2 Tempo,90+1',Ospite,Gol,Mupemba N.,0-6,fRZuW33L
Coppa di Francia,7° turno,15.11.2025,Montceau,L'Etrat La Tour,1 Tempo,22',Casa,Gol,Konate T.,1-0,ITUWwb06
Coppa di Francia,7° turno,15.11.2025,Montceau,L'Etrat La Tour,1 Tempo,28',Ospite,Gol,Sion A.,1-1,ITUWwb06
Coppa di Francia,7° turno,15.11.2025,Montceau,L'Etrat La Tour,1 Tempo,45',Casa,Gol,Clement P.,2-1,ITUWwb06
Coppa di Francia,7° turno,15.11.2025,Montreal-la-Cluse,Chalon,2 Tempo,64',Ospite,Gol,Besini R.,0-1,boBnYSTp
Coppa di Francia,7° turno,15.11.2025,Montreal-la-Cluse,Chalon,2 Tempo,82',Ospite,Gol,Guerin A.,0-2,boBnYSTp
Coppa di Francia,7° turno,15.11.2025,Montreal-la-Cluse,Chalon,2 Tempo,89',Ospite,Gol,Mathis B.,0-3,boBnYSTp
Coppa di Francia,7° turno,15.11.2025,Montreuil,Bandrele,2 Tempo,90+5',Casa,Gol,Adel A.,1-0,86o2R7Et
Coppa di Francia,7° turno,15.11.2025,Oissel,Quevilly Rouen,1 Tempo,10',Ospite,Rigore Assegnato,Leborgne J.,0-1,8dvYsood
Coppa di Francia,7° turno,15.11.2025,Oissel,Quevilly Rouen,1 Tempo,10',Ospite,Rigore,Leborgne J.,0-1,8dvYsood
Coppa di Francia,7° turno,15.11.2025,Oissel,Quevilly Rouen,2 Tempo,83',Casa,Gol,Fauvel M.,1-1,8dvYsood
Coppa di Francia,7° turno,15.11.2025,Oissel,Quevilly Rouen,2 Tempo,87',Casa,Cartellino Giallo,Tyburn M.,,8dvYsood
