date,season,league,home_team,away_team,home_goals,away_goals,result,home_sot,away_sot,odds_home,odds_draw,odds_away,odds_over25,odds_under25,home_xg,away_xg,home_npxg,home_ppda,home_deep,away_npxg,away_ppda,away_deep,home_squad_value,away_squad_value,home_absent_count_est,home_absent_value_est,away_absent_count_est,away_absent_value_est,odds_home_open,odds_draw_open,odds_away_open,odds_over25_open,odds_under25_open,home_rest_days_full,away_rest_days_full,home_midweek_europe,away_midweek_europe
2021-02-14,2021,ligue_1,Angers,Nantes,1,3,A,3,3,2.16,3.03,3.85,2.42,1.56,1.72075,1.75357,0.960852,6.391304347826087,3.0,0.993474,12.692307692307692,4.0,95700000.0,88700000.0,5.0,28000000.0,1.0,2500000.0,2.28,3.01,3.53,2.36,1.58,7.0,7.0,0,0
2021-02-14,2021,ligue_1,Dijon,Nimes,0,2,A,3,4,2.57,3.21,2.84,1.96,1.84,0.466986,1.90774,0.466986,6.8108108108108105,2.0,1.90774,8.966666666666667,8.0,63475000.0,54325000.0,2.0,6100000.0,4.0,5600000.0,2.48,3.39,2.81,1.87,1.93,7.0,7.0,0,0
2021-02-14,2021,ligue_1,Metz,Strasbourg,1,2,A,3,2,2.98,2.92,2.66,2.65,1.47,1.46606,1.39672,1.46606,14.105263157894736,5.0,1.39672,6.527777777777778,11.0,60750000.0,99925000.0,4.0,18500000.0,1.0,18000000.0,2.99,2.97,2.61,2.33,1.6,7.0,8.0,0,0
2021-02-14,2021,ligue_1,Rennes,St Etienne,0,2,A,2,3,1.9,3.38,4.3,2.22,1.65,0.797238,0.347155,0.797238,3.7586206896551726,1.0,0.347155,16.695652173913043,2.0,215200000.0,96675000.0,2.0,10500000.0,3.0,32500000.0,1.93,3.42,4.13,2.18,1.69,8.0,7.0,0,0
2021-02-14,2021,ligue_1,Lille,Brest,0,0,D,0,1,1.6,3.9,5.9,1.92,1.88,0.62514,0.0883755,0.62514,6.310344827586207,8.0,0.0883755,24.33333333333333,2.0,228900000.0,69725000.0,1.0,2000000.0,2.0,16500000.0,1.52,4.15,6.34,1.95,1.85,7.0,7.0,0,0
2021-02-14,2021,ligue_1,Bordeaux,Marseille,0,0,D,1,1,2.58,3.19,2.85,2.2,1.67,1.90455,0.41792,1.90455,12.833333333333334,7.0,0.41792,12.428571428571429,3.0,95100000.0,281800000.0,1.0,21000000.0,4.0,57500000.0,2.62,3.28,2.73,2.14,1.71,7.0,7.0,0,0
2021-02-17,2021,ligue_1,Marseille,Nice,3,2,H,4,4,2.48,3.1,3.04,2.15,1.69,0.648327,1.2083,0.648327,18.15,5.0,1.2083,10.25,5.0,281800000.0,210650000.0,2.0,23000000.0,4.0,65000000.0,2.29,3.35,3.16,2.03,1.79,3.0,4.0,0,0
2021-02-19,2021,ligue_1,Brest,Lyon,2,3,A,7,7,5.91,4.64,1.5,1.39,2.94,1.46003,3.47483,1.46003,17.8,10.0,2.71474,9.0,10.0,69725000.0,366200000.0,2.0,16500000.0,3.0,65000000.0,5.82,4.67,1.51,1.39,2.99,5.0,6.0,0,0
2021-02-20,2021,ligue_1,Nantes,Marseille,1,1,D,1,3,2.52,3.08,3.03,2.34,1.59,0.779308,0.564279,0.779308,20.21052631578948,2.0,0.564279,5.083333333333333,1.0,88700000.0,281800000.0,2.0,4100000.0,3.0,55000000.0,2.87,3.17,2.57,2.24,1.64,6.0,3.0,0,0
2021-02-20,2021,ligue_1,St Etienne,Reims,1,1,D,8,2,2.17,3.1,3.69,2.29,1.61,1.97702,0.35467,1.97702,7.054054054054054,5.0,0.35467,8.407407407407407,4.0,96675000.0,73325000.0,3.0,32500000.0,2.0,4500000.0,2.23,2.99,3.7,2.36,1.58,6.0,7.0,0,0
2021-02-21,2021,ligue_1,Nimes,Bordeaux,2,0,H,3,4,3.1,3.33,2.32,2.01,1.79,0.364183,0.791842,0.364183,20.894736842105264,5.0,0.791842,5.375,1.0,54325000.0,95100000.0,4.0,5600000.0,0.0,0.0,3.07,3.49,2.27,1.94,1.85,7.0,7.0,0,0
2021-02-21,2021,ligue_1,Lens,Dijon,2,1,H,4,4,1.5,4.17,6.85,1.85,1.94,1.29752,0.88646,1.29752,8.666666666666666,4.0,0.88646,13.285714285714286,2.0,46325000.0,63475000.0,1.0,8000000.0,2.0,6100000.0,1.53,4.04,6.5,1.87,1.93,8.0,7.0,0,0
2021-02-21,2021,ligue_1,Nice,Metz,1,2,A,3,4,2.15,3.17,3.66,2.3,1.61,1.04755,1.43338,0.287451,4.116279069767442,0.0,1.43338,13.615384615384617,2.0,210650000.0,60750000.0,4.0,65000000.0,4.0,18500000.0,2.34,3.33,3.08,2.25,1.64,4.0,7.0,0,0
2021-02-21,2021,ligue_1,Paris SG,Monaco,0,2,A,1,3,1.64,4.0,5.21,1.62,2.29,0.953831,1.05657,0.953831,6.285714285714286,10.0,1.05657,21.727272727272727,4.0,843250000.0,307450000.0,5.0,181900000.0,2.0,26000000.0,1.62,4.32,4.95,1.41,2.83,5.0,7.0,0,0
2021-02-21,2021,ligue_1,Strasbourg,Angers,0,0,D,2,3,2.28,3.08,3.43,2.36,1.58,1.41894,0.325105,1.41894,4.857142857142857,5.0,0.325105,15.894736842105264,3.0,99925000.0,95700000.0,1.0,18000000.0,4.0,14000000.0,2.28,3.14,3.37,2.24,1.65,7.0,7.0,0,0
